,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
2,1,4,181.0,1305486145,181.0,0.0,553264065,0.0,0.0,1,0
3,1,1,181.0,840083671,181.0,0.0,38997010,21182.0,0.0,1,0
251,1,4,2806.0,1420196421,2806.0,0.0,972765878,0.0,0.0,1,0
252,1,1,2806.0,2101527076,2806.0,0.0,1007251739,26202.0,0.0,1,0
680,1,4,20128.0,137533655,20128.0,0.0,1848415041,0.0,0.0,1,0
681,1,1,20128.0,1118430673,20128.0,0.0,339924917,6268.0,12145.85,1,0
724,1,1,416001.33,749981943,0.0,0.0,667346055,102.0,9291619.62,1,0
969,1,4,1277212.77,1334405552,1277212.77,0.0,431687661,0.0,0.0,1,0
970,1,1,1277212.77,467632528,1277212.77,0.0,716083600,0.0,2444985.19,1,0
1115,1,4,35063.63,1364127192,35063.63,0.0,1136419747,0.0,0.0,1,0
1116,1,1,35063.63,1635772897,35063.63,0.0,1983025922,31140.0,7550.03,1,0
1869,1,4,25071.46,669700766,25071.46,0.0,1384210339,0.0,0.0,1,0
1870,1,1,25071.46,1275464847,25071.46,0.0,1364913072,9083.76,34155.22,1,0
1911,1,1,132842.64,13692003,4499.08,0.0,297927961,0.0,132842.64,1,0
2301,1,4,235238.66,1872047468,235238.66,0.0,116289363,0.0,0.0,1,0
2302,1,1,235238.66,1499825229,235238.66,0.0,2100440237,0.0,235238.66,1,0
3059,2,4,1096187.24,1093223281,1096187.24,0.0,2063275841,0.0,0.0,1,0
3060,2,1,1096187.24,77163673,1096187.24,0.0,644345897,0.0,1096187.24,1,0
3162,2,4,963532.14,1440057381,963532.14,0.0,268086000,0.0,0.0,1,0
3163,2,1,963532.14,430329518,963532.14,0.0,991505714,132382.57,1095914.71,1,0
3271,2,4,14949.84,140702728,14949.84,0.0,634210724,0.0,0.0,1,0
3272,2,1,14949.84,395257482,14949.84,0.0,1032986144,18161.79,33111.63,1,0
3683,2,4,18627.02,1375503918,18627.02,0.0,234430897,0.0,0.0,1,0
3684,2,1,18627.02,175961135,18627.02,0.0,1711105800,147251.58,165878.6,1,0
4103,3,4,10539.37,1134864869,10539.37,0.0,118648358,0.0,0.0,1,0
4104,3,1,10539.37,1984954272,10539.37,0.0,124540047,0.0,10539.37,1,0
4260,3,4,22877.0,1247938090,22877.0,0.0,1002031672,0.0,0.0,1,0
4261,3,1,22877.0,2126545173,22877.0,0.0,573200870,0.0,22877.0,1,0
4440,4,4,10000000.0,7162498,12930418.44,2930418.44,945327594,0.0,0.0,1,0
4441,4,1,10000000.0,351297720,10000000.0,0.0,766681183,0.0,9941904.21,1,0
4442,4,4,2930418.44,2047521920,2930418.44,0.0,449261773,0.0,0.0,1,0
